cert,name,city,state,failure_date,pre_failure_assets,pre_failure_deposits,resolution_type,estimated_loss
58065,WATERFORD VILLAGE BANK,WILLIAMSVILLE,,7/24/2009,55707,56145,FAILURE,7875
23556,"VINEYARD BANK, NATIONAL ASSOCIATION",RANCHO CUCAMONGA,,7/17/2009,1638378,1526186,FAILURE,278591
34103,BANKFIRST,SIOUX FALLS,,7/17/2009,210844,232203,FAILURE,110201
34341,TEMECULA VALLEY BANK,TEMECULA,,7/17/2009,1396622,1276287,FAILURE,227400
34594,FIRST PIEDMONT BANK,WINDER,,7/17/2009,114113,108499,FAILURE,37998
22754,BANK OF WYOMING,THERMOPOLIS,,7/10/2009,70188,66598,FAILURE,32543
3644,THE FIRST NATIONAL BANK OF DANVILLE,DANVILLE,,7/2/2009,148218,140185,FAILURE,24202
9262,THE ELIZABETH STATE BANK,ELIZABETH,,7/2/2009,55027,48131,FAILURE,9832
11710,THE FIRST STATE BANK OF WINCHESTER,WINCHESTER,,7/2/2009,30073,30806,FAILURE,8030
12093,THE JOHN WARNER BANK,CLINTON,,7/2/2009,69609,65179,FAILURE,14315
15302,ROCK RIVER BANK,OREGON,,7/2/2009,74808,74896,FAILURE,18558
18390,FOUNDERS BANK,WORTH,,7/2/2009,889172,832160,FAILURE,129512
57667,MILLENNIUM STATE BANK OF TEXAS,DALLAS,,7/2/2009,118601,115478,FAILURE,52700
9744,HORIZON BANK,PINE CITY,,6/26/2009,84763,69254,FAILURE,24010
35285,NEIGHBORHOOD COMMUNITY BANK,NEWNAN,,6/26/2009,212616,190070,FAILURE,80745
57332,MIRAE BANK,LOS ANGELES,,6/26/2009,480619,409951,FAILURE,45309
57436,COMMUNITY BANK OF WEST GEORGIA,VILLA RICA,,6/26/2009,201222,189398,FAILURE,71712
57893,METROPACIFIC BANK,IRVINE,,6/26/2009,75316,70078,FAILURE,32168
4614,FIRST NATIONAL BANK OF ANTHONY,ANTHONY,,6/19/2009,156954,142551,FAILURE,33230
27837,COOPERATIVE BANK,WILMINGTON,,6/19/2009,966778,768479,FAILURE,287345
35251,SOUTHERN COMMUNITY BANK,FAYETTEVILLE,,6/19/2009,371695,297962,FAILURE,136636
17309,BANK OF LINCOLNWOOD,LINCOLNWOOD,,6/5/2009,212718,209285,FAILURE,70928
5757,CITIZENS NATIONAL BANK,MACOMB,,5/22/2009,438560,393635,FAILURE,30439
35175,STRATEGIC CAPITAL BANK,CHAMPAIGN,,5/22/2009,546576,479384,FAILURE,92681
32247,"BANKUNITED, FSB",CORAL GABLES,,5/21/2009,13111463,8775985,FAILURE,5228684
34843,WESTSOUND BANK,BREMERTON,,5/8/2009,334608,304464,FAILURE,81050
26535,"SILVERTON BANK, NATIONAL ASSOCIATION",ATLANTA,,5/1/2009,4157246,3314928,FAILURE,639419
35461,AMERICA WEST BANK,LAYTON,,5/1/2009,281564,286040,FAILURE,114287
57563,CITIZENS COMMUNITY BANK,RIDGEWOOD,,5/1/2009,40657,40664,FAILURE,18187
32069,FIRST BANK OF BEVERLY HILLS,CALABASAS,,4/24/2009,1260354,866492,FAILURE,8430
34369,MICHIGAN HERITAGE BANK,FARMINGTON HILLS,,4/24/2009,167710,149065,FAILURE,48551
34396,"FIRST BANK OF IDAHO, FSB",KETCHUM,,4/24/2009,490656,370580,FAILURE,109230
57943,AMERICAN SOUTHERN BANK,KENNESAW,,4/24/2009,105950,105940,FAILURE,32820
8266,AMERICAN STERLING BANK,SUGAR CREEK,,4/17/2009,166456,170946,FAILURE,44669
33824,GREAT BASIN BANK OF NEVADA,ELKO,,4/17/2009,238940,220834,FAILURE,20023
34639,CAPE FEAR BANK,WILMINGTON,,4/10/2009,492418,402820,FAILURE,118565
34881,NEW FRONTIER BANK,GREELEY,,4/10/2009,1774588,1496347,FAILURE,913432
22238,OMNI NATIONAL BANK,ATLANTA,,3/27/2009,979585,813205,FAILURE,288415
4754,"TEAMBANK, N.A.",PAOLA,,3/20/2009,669830,532520,FAILURE,134593
18243,FIRSTCITY BANK,STOCKBRIDGE,,3/20/2009,285015,259056,FAILURE,135210
18896,COLORADO NATIONAL BANK,COLORADO SPRINGS,,3/20/2009,123508,85150,FAILURE,12687
57558,FREEDOM BANK OF GEORGIA,COMMERCE,,3/6/2009,172454,159048,FAILURE,43267
20078,HERITAGE COMMUNITY BANK,GLENWOOD,,2/27/2009,235154,225735,FAILURE,48231
34820,SECURITY SAVINGS BANK,HENDERSON,,2/27/2009,238307,174872,FAILURE,32328
35399,SILVER FALLS BANK,SILVERTON,,2/20/2009,134206,115976,FAILURE,39331
5431,SHERMAN COUNTY BANK,LOUP CITY,,2/13/2009,135431,90647,FAILURE,42684
16500,CORN BELT BANK AND TRUST COMPANY,PITTSFIELD,,2/13/2009,260201,233788,FAILURE,80894
34563,RIVERSIDE BANK OF THE GULF COAST,CAPE CORAL,,2/13/2009,523673,422708,FAILURE,199818
57342,PINNACLE BANK,BEAVERTON,,2/13/2009,71921,64168,FAILURE,10218
22574,COUNTY BANK,MERCED,,2/6/2009,1711552,1324635,FAILURE,61783
23124,ALLIANCE BANK,CULVER CITY,,2/6/2009,1113361,951106,FAILURE,118079
57017,FIRSTBANK FINANCIAL SERVICES,MCDONOUGH,,2/6/2009,317237,279308,FAILURE,151333
26538,OCALA NATIONAL BANK,OCALA,,1/30/2009,219424,204663,FAILURE,93552
30763,SUBURBAN FEDERAL SAVINGS BANK,CROFTON,,1/30/2009,347408,301847,FAILURE,73819
58001,MAGNET BANK,SALT LAKE CITY,,1/30/2009,300674,282578,FAILURE,170125
33025,1ST CENTENNIAL BANK,REDLANDS,,1/23/2009,797959,678570,FAILURE,136041
3510,BANK OF AMERICA N.A.,CHARLOTTE,,1/16/2009,1471631047,954677580,ASSISTANCE,
19733,NATIONAL BANK OF COMMERCE,BERKELEY,,1/16/2009,419741,395868,FAILURE,80488
25178,BANK OF AMERICA CALIFORNIA N.A.,SAN FRANCISCO,,1/16/2009,21502223,500,ASSISTANCE,
27374,MERRILL LYNCH BANK USA,SALT LAKE CITY,,1/16/2009,61809503,53620324,ASSISTANCE,
33143,COUNTRYWIDE BANK FSB,ALEXANDRIA,,1/16/2009,117978966,43663251,ASSISTANCE,
33318,FIA CARD SERVICES N.A.,WILMINGTON,,1/16/2009,159637136,9816599,ASSISTANCE,
34571,MERRILL LYNCH BANK & TRUST CO FSB,NEW YORK,,1/16/2009,37986413,28539028,ASSISTANCE,
34959,BANK OF CLARK COUNTY,VANCOUVER,,1/16/2009,441085,377506,FAILURE,150724
35453,BANK OF AMERICA OREGON N.A.,PORTLAND,,1/16/2009,11526309,500,ASSISTANCE,
58032,BANK OF AMERICA RHODE ISLAND N.A.,PROVIDENCE,,1/16/2009,35410586,500,ASSISTANCE,
11568,SANDERSON STATE BANK,SANDERSON,,12/12/2008,38217,32012,FAILURE,7710
35379,HAVEN TRUST BANK,DULUTH,,12/12/2008,559551,489692,FAILURE,246603
34301,FIRST GEORGIA COMMUNITY BANK,JACKSON,,12/5/2008,256371,215287,FAILURE,86315
7213,"CITIBANK, NATIONAL ASSOCIATION",LAS VEGAS,,11/23/2008,1207007000,230042000,ASSISTANCE,
18708,"CITICORP TRUST BANK, FSB",WILMINGTON,,11/23/2008,19599414,7231013,ASSISTANCE,
18923,CITIBANK (BANAMEX USA),CENTURY CITY,,11/23/2008,1322720,876086,ASSISTANCE,
23360,"CITIBANK (SOUTH DAKOTA), N.A.",SIOUX FALLS,,11/23/2008,77737957,42356986,ASSISTANCE,
