permit_id,job_id,bbl,borough,permit_type,permit_status,work_type,filing_date,issuance_date,expiration_date,bldg_type,owner_business_name,owner_business_type,permittee_business_name
3746695,321778536,3054110001,BROOKLYN,EW,ISSUED,OT,2020-03-05 ,2020-03-05 ,2020-10-19,2,"LEVON LION EQUITIES AT 18TH, LLC",CORPORATION,CLASSIC BUILDERS CORP
3746784,321835699,3066140015,BROOKLYN,PL,ISSUED,PL,2020-03-05 ,2020-03-05 ,2021-03-05,1,NA,INDIVIDUAL,ENYQ CORP
3746806,421605141,4113760023,QUEENS,EW,ISSUED,MH,2020-03-05 ,2020-03-05 ,2020-04-16,2,N/A,INDIVIDUAL,GREENSIDE CORP
3746846,321821695,3042050010,BROOKLYN,EW,ISSUED,OT,2020-03-05 ,2020-03-05 ,2020-12-03,1,N/A,INDIVIDUAL,RF CONSTRUCTION NY CORP
3306842,421390907,4163500400,QUEENS,FO,ISSUED,,2017-07-25 ,2017-07-25 ,2017-11-12,1,"BREEZY POINT COOPERATIVE, INC.",CONDO/CO-OP,SAND-BAR CONTRACTORS INC
3746118,123462298,1001747505,MANHATTAN,EW,ISSUED,OT,2020-03-04 ,2020-03-04 ,2021-03-01,2,CAST IRON HOUSE CONDOMINIUM,CONDO/CO-OP,INTERIOR MANAGEMENT LLC
3746180,122182850,1008310019,MANHATTAN,EW,ISSUED,SP,2020-03-04 ,2020-03-04 ,2021-03-04,2,"1204 BROADWAY MANHATTAN, LLC",PARTNERSHIP,S & S PLUMBING CORP
3746184,401622669,4049580048,QUEENS,EQ,ISSUED,EQ,2020-03-04 ,2020-03-04 ,2021-03-04,2,XINYUAN USA,PARTNERSHIP,GILBANE RESIDENTIAL CONST
3746335,321490258,3069640002,BROOKLYN,PL,ISSUED,PL,2020-03-04 ,2020-03-04 ,2021-03-04,2,OFFICE OF THE VP FOR DISASTER RE,NYCHA/HHC,"VITAL PLUMBING, INC"
3746345,220724866,2032730001,BRONX,EW,ISSUED,OT,2020-03-04 ,2020-03-04 ,2020-10-01,2,FORDHAM UNIVERSITY,CORPORATION,TISHMAN INTERIORS CORP
3746348,140087616,1019060033,MANHATTAN,EW,ISSUED,OT,2020-03-04 ,2020-03-04 ,2020-10-18,2,N/A,INDIVIDUAL,2260 MAG CORP
3746353,321490294,3069640002,BROOKLYN,PL,ISSUED,PL,2020-03-04 ,2020-03-04 ,2021-03-04,2,OFFICE OF THE VP FOR DISASTER RE,NYCHA/HHC,"VITAL PLUMBING, INC"
3746360,123590300,1004160063,MANHATTAN,PL,ISSUED,PL,2020-03-04 ,2020-03-04 ,2021-03-04,2,ORCHARD REALTY,CORPORATION,APPROVED PLUMBING AND FIR
3744544,122765800,1001740037,MANHATTAN,AL,ISSUED,,2020-02-28 ,2020-03-04 ,2020-11-06,2,95 LEONARD ST.,PARTNERSHIP,"Z & K RENOVATION, CORP"
3744562,220723493,2031890001,BRONX,EW,ISSUED,OT,2020-02-28 ,2020-03-04 ,2021-03-01,2,1-27 EAST FORDHAM RD REALTY ASSO,PARTNERSHIP,RIDGE CONSTRUCTION CORP
3745610,321925333,3031710028,BROOKLYN,NB,ISSUED,,2020-03-03 ,2020-03-03 ,2021-01-15,2,N/A,INDIVIDUAL,UNIQUE DEVELOPERS CORP
3745777,220680573,2030920051,BRONX,EW,ISSUED,MH,2020-03-03 ,2020-03-03 ,2021-02-13,2,709 E TREMONT REATY,INDIVIDUAL,CLIFF REFRIGERATION & A/C
3745888,123171254,1018660001,MANHATTAN,EW,ISSUED,SP,2020-03-03 ,2020-03-03 ,2021-03-03,2,MOUNT SINAI HEALTH SYSTEM,CORPORATION,S & J INDUSTRIAL CORP
3745924,440586885,4036520002,QUEENS,EW,ISSUED,OT,2020-03-03 ,2020-03-03 ,2020-11-01,1,N/A,INDIVIDUAL,"SUNPOWER CORPORATION, SYS"
3745168,421928196,4068020006,QUEENS,DM,ISSUED,,2020-03-02 ,2020-03-03 ,2021-02-06,1,TOP ONE DEVELOPMENT LLC,CORPORATION,SUPREME BUILDERS CORP
3745072,121380362,1013820009,MANHATTAN,PL,ISSUED,PL,2020-03-02 ,2020-03-02 ,2021-03-02,1,SINGLETON ASSETS GROUP LTD,PARTNERSHIP,NYC PLUMBING & HEATING IN
3745078,123679705,1012790057,MANHATTAN,EW,ISSUED,SP,2020-03-02 ,2020-03-02 ,2021-03-02,2,350 MADISON ACQUISITION LLC,CORPORATION,PAR FIRE PROTECTION LLC
3745089,123569334,1008550037,MANHATTAN,EW,ISSUED,OT,2020-03-02 ,2020-03-02 ,2020-08-26,2,"RUDIN MGMT CO., INC/ 41 MADISON",PARTNERSHIP,THEODORE WILLIAMS CONSTR
3745092,123852624,1013137501,MANHATTAN,EW,ISSUED,SP,2020-03-02 ,2020-03-02 ,2021-03-02,2,VORNADO REALTY TRUST,CORPORATION,PAR FIRE PROTECTION LLC
3745099,123234204,1013137501,MANHATTAN,EW,ISSUED,SP,2020-03-02 ,2020-03-02 ,2021-03-02,2,VORNADO OFFICE MANAGEMENT,CORPORATION,PAR FIRE PROTECTION LLC
3745124,421393708,4013490006,QUEENS,NB,ISSUED,,2020-03-02 ,2020-03-02 ,2020-09-07,2,"UTOKILEN, LLC",CORPORATION,ALL STATE 12 GENERAL CONT
3745127,420658559,4006650034,QUEENS,FO,ISSUED,,2020-03-02 ,2020-03-02 ,2021-03-02,2,"STEINWAY STREET LIC, LLC",CORPORATION,RAY BUILDERS INC
3745352,123570830,1012687503,MANHATTAN,EW,ISSUED,OT,2020-03-02 ,2020-03-02 ,2020-10-11,2,SUNFLOWER AMERICAN CAPITAL LTD,CORPORATION,TOJI DEVELOP NY INC
3745363,421653758,4163500400,QUEENS,PL,ISSUED,PL,2020-03-02 ,2020-03-02 ,2021-03-02,1,BREEZY POINT COOPERATIVE INC,CORPORATION,JOSEPH O'GRADY P & H INC
3745376,321314975,3037170006,BROOKLYN,NB,ISSUED,,2020-03-02 ,2020-03-02 ,2020-09-27,2,N/A,INDIVIDUAL,JIU ZHOU INC
3745441,440587349,4120270108,QUEENS,EW,ISSUED,OT,2020-03-02 ,2020-03-02 ,2020-10-01,1,N/A,INDIVIDUAL,SUNRUN INSTALLATION SVC
3745464,123569316,1012630041,MANHATTAN,EW,ISSUED,OT,2020-03-02 ,2020-03-02 ,2020-10-03,2,UOB REALTY (USA) LTD PARTNERSHIP,CORPORATION,NK INTERIOR CORP
3745466,540174256,5028560045,STATEN ISLAND,EW,ISSUED,OT,2020-03-02 ,2020-03-02 ,2020-10-01,1,N/A,INDIVIDUAL,SUNRUN INSTALLATION SVC
3745516,321962391,3007060001,BROOKLYN,PL,ISSUED,PL,2020-03-02 ,2020-03-02 ,2021-03-02,2,19-20 BUSH TERMINAL OWNER LP,CORPORATION,PRO STAR PLBG HTG & MECH
3744485,321594912,3002140025,BROOKLYN,FO,ISSUED,,2020-02-28 ,2020-02-28 ,2020-05-16,1,N/A,INDIVIDUAL,SAPOL CONSTRUCTION LLC
3744552,123237942,1012847501,MANHATTAN,EW,ISSUED,OT,2020-02-28 ,2020-02-28 ,2021-03-01,2,SL GREEN REALTY CORP.,CORPORATION,DNA CONTRACTING LLC
3744558,140617081,1006320045,MANHATTAN,EQ,ISSUED,EQ,2020-02-28 ,2020-02-28 ,2021-02-27,2,GREENWICH PERRY ST /MAXWELL KATE,CORPORATION,EVEREST SCAFFOLDING INC
3744559,340688036,3070240029,BROOKLYN,EW,ISSUED,OT,2020-02-28 ,2020-02-28 ,2021-02-27,1,N/A,INDIVIDUAL,DIMEX GROUP INC
3744711,122817416,1008510035,MANHATTAN,EW,ISSUED,OT,2020-02-28 ,2020-02-28 ,2021-03-01,2,ROCKROSE,PARTNERSHIP,SKYLINE RESTORATION INC
3744741,220694050,2035670001,BRONX,EW,ISSUED,OT,2020-02-28 ,2020-02-28 ,2021-03-01,2,JAMIE TOWERS,CORPORATION,SKYLINE RESTORATION INC
