bbl,borough,address,zip,bldg_class,land_use,year_built,num_floors,units_residential,units_total,lot_area_sqft,bldg_area_sqft,assess_total,owner_name,latitude,longitude
1017340001,MN,506 LENOX AVENUE,10037,I1,8,2009,10.0000000,0,1,260689,2291032,214086150.00000,NYC HEALTH AND HOSPITALS CORPORATION,40.8142933,-73.9389933
1012570001,MN,476 5 AVENUE,10018,P8,8,1911,3.5000000,0,3,219250,284249,207412650.00000,NEW YORK PUBLIC LIBRARY,40.7532021,-73.9822674
1013740014,MN,650 MADISON AVENUE,10022,O4,5,1957,27.0000000,0,33,35447,449876,205088850.00000,650 MADISON OWNER LLC,40.7640362,-73.9716621
1000237501,MN,1 WALL STREET,10005,RM,4,1930,52.0000000,566,567,42178,872851,204682997.00000,UNAVAILABLE OWNER,40.7071211,-74.0118304
1010517502,MN,560 10 AVENUE,10036,RM,4,2008,59.0000000,814,823,54647,1003752,201437427.00000,UNAVAILABLE OWNER,40.7590386,-73.9949718
1009990029,MN,1185 AVENUE OF THE AMER,10036,O4,5,1970,42.0000000,0,50,42049,1047390,201221550.00000,SL GREEN REALTY CORP.,40.7578984,-73.9825188
1011040031,MN,827 11 AVENUE,10019,D7,4,2015,42.0000000,1028,1033,85996,1192139,199745550.00000,"FPC 57 SOUTH, LLC",40.7704347,-73.9926712
1010020001,MN,745 7 AVENUE,10019,O4,5,1999,32.0000000,0,7,62459,1020000,198823050.00000,US REAL ESTATE HOLDINGS NO.1 LIMITED,40.7605196,-73.9828430
1009627502,MN,430 EAST 29 STREET,10016,RB,5,2008,17.0000000,0,2,129000,800802,198069300.00000,UNAVAILABLE OWNER,40.7399215,-73.9743283
1008250031,MN,1097 BROADWAY,10010,O6,5,1909,15.0000000,0,34,51642,704950,197790300.00000,200 FIFTH OWNER LLC,40.7421554,-73.9898955
1001560001,MN,38 LAFAYETTE STREET,10278,O9,5,1968,45.0000000,0,45,136994,1653794,197693550.00000,US GENERAL SERVICES ADMINISTRATION,40.7151364,-74.0038165
